song_name,album,sung_by,year_released,highlights
"Fly to My Room","BE","Suga, j-hope, Jimin & V (BTS)",2020,"Unit track; cozy introspective pandemic lockdown theme"
"Blue & Grey","BE","V (BTS)",2020,"V co-wrote; explores depression and exhaustion; became a touchstone for mental health conversations in K-pop"
"Skit (BE)","BE","BTS",2020,"Skit from BE album"
"Telepathy","BE","BTS",2020,"Retro fun track about missing fans during pandemic; joyful"
"Dis-ease","BE","BTS Rap Line",2020,"Funky self-aware track about pandemic restlessness; unique production"
"Stay","BE","BTS",2020,"Bright hopeful pop; fan favourite; concert staple"
"Abyss","Non-album solo single","Jin (BTS)",2020,"Self-produced birthday song; raw and honest about feeling like a fraud; unusual transparency for idol industry"
"Christmas Love","Non-album solo single","Jimin (BTS)",2020,"Christmas solo single released as gift to fans"
"Snow Flower","Non-album solo single","V (BTS) feat. Peakboy",2020,"V's winter solo single featuring Peakboy; gentle and warm"
"Blue Side (Full Version)","Non-album solo single","j-hope (BTS)",2021,"Full version of Hope World's outro track; released as a gift to fans"
"Film Out","Non-album Japanese single","BTS",2021,"Japanese single for film Signal; emotional and cinematic; fan favourite"
"Bicycle","Non-album solo single","RM (BTS)",2021,"RM's Festa solo gift to fans; breezy and freeing"
"Butter","Non-album single","BTS",2021,"Spent 10 weeks at #1 on Billboard Hot 100; record-breaking; smooth funk-pop; Grammy nominated; multiple remixes including Hotter Cooler and Sweeter"
"Permission to Dance","Non-album single","BTS",2021,"Followed Butter at #1; co-written by Ed Sheeran; uplifting post-pandemic message; uses sign language in choreography"
"My Universe","Non-album single","BTS & Coldplay",2021,"Collaboration with Coldplay; debuted at #1 on Hot 100; on Coldplay's Music of the Spheres album; massive global crossover"
"Yours","Non-album OST solo","Jin (BTS)",2021,"OST for Korean drama Jirisan; sweeping ballad; showcased Jin's classical vocal technique"
"Super Tuna","Non-album solo single","Jin (BTS)",2021,"Viral self-produced birthday song about fishing; intentionally absurd; became global meme and dance challenge"
"Christmas Tree","Non-album solo single","V (BTS)",2021,"V's Christmas gift to fans; from Our Beloved Summer drama OST"
"Stay Alive","Non-album solo single","Jungkook (BTS) prod. SUGA",2022,"OST for BTS webtoon 7Fates: CHAKHO; produced by Suga; emotional and cinematic"
"With You","Non-album solo single","Jimin (BTS) & Ha Sungwoon",2022,"Duet with Ha Sungwoon of Wanna One; OST for Our Blues drama; tender and beautiful"
"Yet to Come (The Most Beautiful Moment)","Proof","BTS",2022,"Career retrospective single; introspective celebration of journey; released alongside anthology album"
"Run BTS","Proof","BTS",2022,"High-energy track; rap-heavy; fan favourite for encapsulating BTS fun identity"
"For Youth","Proof","BTS",2022,"Warm fan tribute closing track on Proof anthology"
"Born Singer","Proof","BTS",2022,"Originally performed at 2013 showcase; official studio version on Proof; deeply emotional fan moment; callback to American rapper J. Cole's Born Sinner"
"Skit (Proof)","Proof","BTS",2022,"Skit on the Proof anthology"
"My You","Non-album solo single","Jungkook (BTS)",2022,"Released for BTS 9th anniversary Festa; heartfelt and gentle"
"MORE","Jack In The Box","j-hope (BTS)",2022,"Aggressive rap lead single; surprised fans with darker concept"
"EQUAL SIGN","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box; uplifting message about equality"
"Music Box: Reflection","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box; introspective"
"STOP","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box; intense and emotional"
"= (Equal Sign)","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box"
"What If...","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box; existential questioning"
"Safety Zone","Jack In The Box","j-hope (BTS)",2022,"From Jack In The Box; reflective"
"Arson","Jack In The Box","j-hope (BTS)",2022,"Career reflection with fire metaphor; emotionally complex; fan favourite from album"
"Pandora's Box","Jack In The Box","j-hope (BTS)",2022,"Closing track of Jack In The Box"
"The Astronaut","Non-album solo single","Jin (BTS)",2022,"Collaboration with Coldplay; released at Coldplay concert; about leaving and returning to fans; timed with military enlistment announcement"
"Dreamers","Non-album solo single","Jungkook (BTS) feat. Fahad Al Kubaisi",2022,"Official FIFA World Cup Qatar 2022 anthem; performed at opening ceremony"
"Wild Flower","Indigo","RM (BTS) feat. youjeen",2022,"Standout Indigo track; reflective about fame and identity"
"Closer","Indigo","RM (BTS) feat. Paul Blanco & Mahalia",2022,"From Indigo; soulful and warm"
"All Day","Indigo","RM (BTS) feat. Tablo & Benny Blanco",2022,"From Indigo; features Tablo and Benny Blanco"
"Yun","Indigo","RM (BTS)",2022,"From Indigo; reflective and atmospheric"
"Still Life","Indigo","RM (BTS) feat. Anderson .Paak",2022,"Collaboration highlight; smooth neo-soul influenced"
"All Desire","Indigo","RM (BTS) feat. Erykah Badu",2022,"From Indigo; collaboration with Erykah Badu"
"Lonely","Indigo","RM (BTS) feat. Colde",2022,"Emotional introspective solo; fan favourite from Indigo; features Colde"
"Hectic","Indigo","RM (BTS) feat. Mahalia & Farai",2022,"From Indigo; features Mahalia and Farai"
"No. 2","Indigo","RM (BTS) feat. Kim Sawol",2022,"From Indigo; features Kim Sawol"
"Forg_tful","Indigo","RM (BTS) feat. Moses Sumney",2022,"From Indigo; features Moses Sumney; closing track"
"on the street","Non-album solo single","j-hope (BTS) feat. J. Cole",2023,"Collaboration with J. Cole; released before military enlistment; heartfelt tribute to street dance and hip-hop roots"
"Intro: Face Yourself","FACE","Jimin (BTS)",2023,"Jimin's debut solo album intro; introspective and vulnerable"
"Face-off","FACE","Jimin (BTS)",2023,"From FACE; intense emotional rap track"
"Like Crazy","FACE","Jimin (BTS)",2023,"First Korean-language solo to debut at #1 on Billboard Hot 100 by a Korean solo artist; psychedelic pop"
"Interlude: Expressway","FACE","Jimin (BTS)",2023,"Interlude from FACE"
"Set Me Free Pt.2","FACE","Jimin (BTS)",2023,"Intense emotional release track; strong vocals; fan favourite"
"Closer Than This","Non-album solo single","Jimin (BTS)",2023,"Christmas gift to ARMY; tender and intimate; fan favourite"
"Haiku","D-DAY","Suga/Agust D feat. BTS & JUICE WRLD",2023,"From D-DAY; introspective collaboration"
"HUH?!","D-DAY","Suga/Agust D feat. j-hope",2023,"From D-DAY; features j-hope; playful and intense"
"Polar Night","D-DAY","Suga/Agust D",2023,"From D-DAY; cold and atmospheric"
"SDL","D-DAY","Suga/Agust D",2023,"From D-DAY; reflective"
"People Pt.2","D-DAY","Suga/Agust D feat. IU",2023,"Sequel to People from D-2 era; IU collaboration; reflective and warm; fan favourite"
"Amygdala","D-DAY","Suga/Agust D",2023,"Suga opens up about personal trauma including accident and mother's illness; raw and vulnerable; considered his most personal song"
"Snooze","D-DAY","Suga/Agust D feat. Ryuichi Sakamoto & woosung",2023,"Sakamoto's final recorded collaboration before his death; deeply moving; fan and critical favourite"
"Life Goes On (Agust D)","D-DAY","Suga/Agust D",2023,"D-DAY version of the theme; not the same as BTS's BE track"
"INTERLUDE: Set Me Free","D-DAY","Suga/Agust D",2023,"Interlude from D-DAY"
"D-DAY","D-DAY","Suga/Agust D",2023,"Title track and closing statement of the D-DAY album; addresses military service mental health and fame"
"Bastions","Non-album single","BTS",2023,"OT7 theme song for the animated series Bastions"
"Take Two","Non-album single","BTS",2023,"Released for BTS 10th anniversary; emotional fan dedication during hiatus period; deeply moving"
"Rainy Days","Layover","V (BTS)",2023,"Moody atmospheric; fan favourite from Layover"
"Love Me Again","Layover","V (BTS)",2023,"Emotional lead single from Layover; guitar-driven pop"
"Slow Dancing","Layover","V (BTS)",2023,"Standout Layover track; cinematic slow-burn R&B; fan and critical favourite"
"For Us","Layover","V (BTS)",2023,"From Layover; heartfelt and reflective"
"Wherever V Goes","Layover","V (BTS)",2023,"From Layover; autobiographical and flowing"
"Blue","Layover","V (BTS)",2023,"From Layover; melancholic mood piece"
"FRI(END)S","Non-album solo single","V (BTS)",2024,"Solo release during military era; explores complex relationship dynamics; unique punny title"
"Seven","Golden","Jungkook (BTS) feat. Latto",2023,"Pre-release single from Golden; #1 in 97 countries; one of most streamed K-pop solo songs ever; bright summer pop"
"3D","Golden","Jungkook (BTS) feat. Jack Harlow",2023,"Sensual mature concept; significant departure from youthful image; global chart success; features Jack Harlow"
"Standing Next to You","Golden","Jungkook (BTS)",2023,"70s-influenced funk; Bruno Mars comparisons; strong vocal and dance performance"
"Hate You","Golden","Jungkook (BTS)",2023,"From Golden; emotional breakup song"
"Yes or No","Golden","Jungkook (BTS)",2023,"From Golden; playful romantic track"
"Please Don't Change","Golden","Jungkook (BTS) feat. DJ Snake",2023,"From Golden; features DJ Snake; positive affirmation track"
"Somebody","Golden","Jungkook (BTS)",2023,"From Golden; upbeat and charming"
"Hollowed Out","Golden","Jungkook (BTS)",2023,"From Golden; introspective and vulnerable"
"Too Sad to Dance","Golden","Jungkook (BTS)",2023,"Emotional B-side; fan favourite for vulnerability"
"Shot Glass of Tears","Golden","Jungkook (BTS)",2023,"From Golden; melancholic ballad"
"Never Let Go","Non-album solo single","Jungkook (BTS)",2024,"Fan dedication released during military period; emotional and intimate"
"Neuron","Hope on the Street Vol.1","j-hope (BTS) feat. Gaeko & Yoonmirae",2024,"Hip-hop showcase from documentary-tied album; strong feature artists; critically well received"
"NEURON (Hope Version)","Hope on the Street Vol.1","j-hope (BTS)",2024,"Alternative version from Hope on the Street Vol.1"
"i Wonder...","Hope on the Street Vol.1","j-hope (BTS)",2024,"From Hope on the Street documentary album"
"Piece of Peace","Hope on the Street Vol.1","j-hope (BTS)",2024,"From Hope on the Street documentary album; returning to dance roots"
"AROUND THE WORLD","Hope on the Street Vol.1","j-hope (BTS) feat. RM",2024,"Features RM; from Hope on the Street; celebratory"
"WHO","MUSE","Jimin (BTS)",2024,"Lead single from MUSE; introspective alt-pop; strong critical reception"
"Smeraldo Garden Marching Band","MUSE","Jimin (BTS) feat. Loco",2024,"Upbeat quirky track with rap feature from MUSE"
"Rebirth","MUSE","Jimin (BTS)",2024,"From MUSE; dramatic and emotional"
"Be Mine","MUSE","Jimin (BTS)",2024,"Synth-pop love song; fan favourite from second album"
"Slow Dance","MUSE","Jimin (BTS) feat. Sofia Carson",2024,"From MUSE; duet with Sofia Carson; romantic ballad"
"Interlude (MUSE)","MUSE","Jimin (BTS)",2024,"Album interlude on MUSE"
"Evening (with Snooze)","MUSE","Jimin (BTS)",2024,"Closing track of MUSE"
"Right Place Wrong Person","Right Place Wrong Person","RM (BTS)",2024,"Title track of RM's second solo album; existential pop-rock"
"Out of Love","Right Place Wrong Person","RM (BTS)",2024,"From Right Place Wrong Person; co-produced with James Blake"
"Nuts","Right Place Wrong Person","RM (BTS)",2024,"From RPWP; intense and experimental"
"Groin","Right Place Wrong Person","RM (BTS)",2024,"From RPWP; abstract and artistic"
"Domodachi","Right Place Wrong Person","RM (BTS) feat. Erykah Badu",2024,"From RPWP; features Erykah Badu"
"Heaven","Right Place Wrong Person","RM (BTS) feat. Moses Sumney",2024,"From RPWP; features Moses Sumney"
"Come Back to Me","Right Place Wrong Person","RM (BTS)",2024,"Single from RPWP; emotional return theme"
"Around the World in a Day","Right Place Wrong Person","RM (BTS)",2024,"From RPWP; whimsical and warm"
"Lost!","Right Place Wrong Person","RM (BTS)",2024,"From RPWP; upbeat experimental pop"
"RM!","Right Place Wrong Person","RM (BTS)",2024,"From RPWP; bold statement of identity"
"Welcome","Right Place Wrong Person","RM (BTS)",2024,"Closing track of Right Place Wrong Person"
"In the Box","Non-album solo single","Jin (BTS)",2022,"Pre-enlistment release; heartfelt tribute to fans; emotional live performances"
"Happy (Alone)","Happy","Jin (BTS)",2024,"From Jin's first solo album Happy; upbeat celebration of return from military"
"Running Wild","Happy","Jin (BTS)",2024,"Single from Happy album; energetic post-military release"
"I'll Be There","Happy","Jin (BTS)",2024,"Warm fan-facing track from Happy album; emotional reunion theme"
"Another Life","Happy","Jin (BTS)",2024,"From Happy; reflective"
"Until I Die","Happy","Jin (BTS)",2024,"Closing track of Happy"
"Winter Ahead","Non-album solo single","V (BTS) & Park Hyo Shin",2024,"Solo collaboration with Park Hyo Shin; released during military period; atmospheric"
"Close to You","Non-album solo single","Jin (BTS)",2025,"First solo post-discharge single; Carpenters cover reimagined; gift to fans on return"
"Sweet Dreams","Non-album solo single","j-hope (BTS) feat. Miguel",2025,"Solo single post-discharge; features Miguel; smooth R&B"
"Mona Lisa","Non-album solo single","j-hope (BTS)",2025,"Solo single from j-hope; energetic comeback"
"Don't Say You Love Me","Echo","Jin (BTS)",2025,"Lead single from Jin's second solo album Echo"
"Running Wild (Echo Version)","Echo","Jin (BTS)",2025,"Version of Running Wild on Echo album"
"Echo (Title Track)","Echo","Jin (BTS)",2025,"Title track of Jin's second solo album; released May 2025"
"Falling","Echo","Jin (BTS)",2025,"From Echo; emotional ballad; has a Japanese version featuring Taka of One OK Rock"
"Killin It Girl","Non-album solo single","j-hope (BTS) feat. GloRilla",2025,"Solo single featuring GloRilla; released June 2025; energetic and confident"
"Body to Body","ARIRANG","BTS",2026,"Album opener; opens with pansori-style Arirang folk melody; theme of concert togetherness; anchors the album's Korean cultural identity"
"Hooligan","ARIRANG","BTS",2026,"Hip-hop heavy second track; aggressive energy; part of the rap-forward first half"
"Aliens","ARIRANG","BTS",2026,"Third track; experimental hip-hop; bold artistic risk-taking"
"FYA","ARIRANG","BTS",2026,"Jersey club-influenced beat anthem; one of the most sonically unexpected tracks"
"2.0","ARIRANG","BTS",2026,"Follow-up promotional track alongside Swim; performed on The Tonight Show at Guggenheim Museum; high-energy statement of reinvention"
"No. 29","ARIRANG","BTS",2026,"Unique 1 min 38 sec interlude featuring the Divine Bell of King Seongdeok - South Korea's National Treasure No. 29; bold artistic statement of cultural pride"
"Swim","ARIRANG","BTS",2026,"Title track and lead single; highlighted on the tracklist in black; performed at Pier 17 NYC Spotify Swimside event and Gwanghwamun Netflix livestream"
"Merry Go Round","ARIRANG","BTS",2026,"Rock-influenced track; one of the genre-bending highlights of the second half"
"Normal","ARIRANG","BTS",2026,"Performed at Spotify Swimside NYC event; introspective track exploring post-military return to everyday life"
"Like Animals","ARIRANG","BTS",2026,"Part of the experimental and emotionally expansive second half"
"they don't know bout us","ARIRANG","BTS",2026,"Intimate fan-facing track; title echoes BTS-ARMY closeness during the military hiatus period"
"One More Night","ARIRANG","BTS",2026,"Emotional longing theme; part of the album's reflective closing stretch"
"Please","ARIRANG","BTS",2026,"Vulnerable and heartfelt; contributes to the emotional arc leading into the album closer"
"Into the Sun","ARIRANG","BTS",2026,"Album closer; critically described as BTS entering a new league; lyric I'll follow you into the sun widely interpreted as mutual BTS-ARMY dedication"
"Come Over","ARIRANG (Deluxe Vinyl)","Suga (BTS)",2026,"Exclusive deluxe vinyl bonus track produced solely by Suga; released April 3 2026; the album's only individual member production credit"
